Location,Lat,Lng,,raw data
AREA39|DOWNST,22.42753,114.204374,39區,
AREA39|UPPERST,22.427655,114.204387,39區,
CCEE|DOWNST,22.419171,114.212959,環迴東站,"Latitude (LAT): 22.419171 N 22°25'9.01714""  Longitude (LONG): 114.212959 E 114°12'46.65124""  ----------  Check out this great app - GPS Coordinates  You can download it from"
CCEE|UPPERST,22.419124,114.212903,環迴東站,
CCEN,22.425661,114.206352,環迴北站,"Latitude (LAT): 22.425661 ""N 22°25'32.37939""""""  Longitude (LONG): 114.206352 ""E 114°12'22.86861""""""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"
CCHH,22.4219403828,114.204765128,陳震夏宿舍,WGS 1984
CCTEA,22.415872,114.208292,崇基教學樓,"Latitude (LAT): 22.415872 N 22°24'57.13803""  Longitude (LONG): 114.208292 E 114°12'29.85137""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"
CWCC|DOWNST,22.42564,114.206662,敬文書院,
CWCC|UPPERST,22.425613,114.206182,敬文書院,
FKHB,22.4198801398,114.203074398,馮景禧樓,WGS 1984
JCPH|DOWNST,22.420465,114.212188,賽馬會研究生宿舍,
JCPH|UPPERST,22.420465,114.212188,賽馬會研究生宿舍,
MTR,22.414523,114.210223,地鐵大學站,"Latitude (LAT): 22.414523 N 22°24'52.28215""  Longitude (LONG): 114.210223 E 114°12'36.80155""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"
MTRP,22.413901,114.209770,地鐵大學站廣場,"Latitude (LAT): 22.413901 N 22°24'50.04408""  Longitude (LONG): 114.209770 E 114°12'35.17030""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"
NAC,22.4214149615,114.20748402,新亞書院,WGS 1984
RESI10,22.424494,114.208221,十苑,
RESI15,22.423738,114.206562,十五苑,
RESI34|DOWNST,22.421200,114.203567,三、四苑,
RESI34|UPPERST,22.421094,114.203502,三、四苑,"Latitude (LAT): 22.421094 N 22°25'15.93712""  Longitude (LONG): 114.203502 E 114°12'12.60645""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"
SCIC,22.4198696,114.2072691,科學館,"Latitude (LAT): 22.419741 N 22°25'11.06602""  Longitude (LONG): 114.207189 E 114°12'25.88146""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"
SHAWC|DOWNST,22.4225024176,114.201280422,逸夫書院,WGS 1984
SHAWC|UPPERST,22.4225024176,114.201280422,逸夫書院,WGS 1984
SHAWHALL,22.4198826971,114.206907327,邵逸夫堂,WGS 1984
SHHC,22.418020,114.209896,善衡書院,"Latitude (LAT): 22.418020 N 22°25'4.87333""  Longitude (LONG): 114.209896 E 114°12'35.62589""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"
SPORTC,22.4178012867,114.210581866,大學體育中心,WGS 1984
UADM,22.418799,114.205340,大學行政樓,"Latitude (LAT): 22.418799 N 22°25'7.67494""  Longitude (LONG): 114.205340 E 114°12'19.22319""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"
UC|DOWNST,22.4203568785,114.205303987,聯合書院,WGS 1984
UC|UPPERST,22.420406,114.205178,聯合書院,
UCSR,22.423261,114.205133,聯合苑,
YIAP,22.415880,114.210859,康本國際學術園,"Latitude (LAT): 22.415880 N 22°24'57.16640""  Longitude (LONG): 114.210859 E 114°12'39.09303""  ----------  Check out this great app - GPS Coordinates  You can download it from https://itunes.apple.com/us/app/gps-coordinates-free/id1335952038?ls=1&mt=8"